17:03:54 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749004,\n"message":{"message_id":67,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634633,"text":"\\u041f"}}]}'"
17:03:54 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:54 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'П'}" and files "None"
17:03:54 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749005, 'timeout': 20}" and files "None"
17:03:54 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":68,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634634,"text":"\\u041f"}}'"
17:03:58 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749005,\n"message":{"message_id":69,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634637,"text":"\\u0420\\u0430"}}]}'"
17:03:58 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:58 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'Ра'}" and files "None"
17:03:58 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":70,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634637,"text":"\\u0420\\u0430"}}'"
17:03:58 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749006, 'timeout': 20}" and files "None"
17:03:58 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749006,\n"message":{"message_id":71,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634638,"text":"\\u0426"}}]}'"
17:03:58 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:58 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'Ц'}" and files "None"
17:03:58 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":72,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634638,"text":"\\u0426"}}'"
17:03:58 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749007, 'timeout': 20}" and files "None"
17:03:59 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749007,\n"message":{"message_id":73,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634639,"text":"\\u041a\\u043d"}}]}'"
17:03:59 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:59 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'Кн'}" and files "None"
17:03:59 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":74,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634639,"text":"\\u041a\\u043d"}}'"
17:03:59 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749008, 'timeout': 20}" and files "None"
17:04:00 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749008,\n"message":{"message_id":75,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634640,"text":"\\u0418"}}]}'"
17:04:00 | DEBUG | start_polling: 395 | Received 1 updates.
17:04:00 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'И'}" and files "None"
17:04:00 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":76,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634640,"text":"\\u0418"}}'"
17:04:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749009, 'timeout': 20}" and files "None"
17:04:00 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749009,\n"message":{"message_id":77,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634640,"text":"\\u0418"}}]}'"
17:04:00 | DEBUG | start_polling: 395 | Received 1 updates.
17:04:00 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'И'}" and files "None"
